sentenceF1,corpusF1,averageLL,perplexity
51.6939904,48.7803012,-112.3292618,187.3336945
57.4303498,54.5907737,-111.616684,181.2170715
52.7022556,49.4571527,-111.6873703,181.8148041
54.1027901,51.041003,-111.7595901,182.4274902
54.1972905,51.2973007,-112.2427826,186.5804901
56.8463364,53.9058604,-111.2110291,177.8246613
56.9398659,54.3627507,-111.5537643,180.686676
55.7992521,53.1795893,-112.2788544,186.8942719
57.4522207,54.8432082,-111.7325363,182.1977234
52.5526303,49.7421466,-111.5856934,180.9555969
